,PD,PF,FIR,Balance,InferenceTotal(ms),InferenceTime(ms_per_sample)
0,0.7272726611570308,0.3448275743162905,0.4444444197530878,0.6891252202564314,2.7873599529266357,0.0696839988231659
1,0.6666666111111158,0.21428570663265334,0.5714285306122479,0.7197951533117213,2.541088104248047,0.06352720260620118
2,0.5833332847222263,0.35714284438775556,0.4117646816609011,0.6119522175570734,1.5196160078048706,0.037990400195121767
3,0.7499999375000053,0.35714284438775556,0.47368418559556913,0.6917379016588499,1.2138240337371826,0.030345600843429566
4,0.8333332638888947,0.4285714132653067,0.4545454338842984,0.6748452236286917,1.6807680130004883,0.042019200325012204
5,0.41666663194444736,0.35714284438775556,0.3333333111111126,0.5163530060134709,3.6990718841552734,0.09247679710388183
6,0.8333332638888947,0.24999999107142887,0.588235259515573,0.7875408316150568,2.376863956451416,0.0594215989112854
7,0.4999999583333368,0.21428570663265334,0.4999999583333368,0.6153453459701024,1.6915520429611206,0.042288801074028014
8,0.6666666111111158,0.32142855994898,0.47058820761245834,0.6725649168926586,3.4081919193267822,0.08520479798316956
9,0.4545454132231443,0.21428570663265334,0.4545454132231443,0.5856094412857805,2.6093759536743164,0.06690707573523888
Average,0.6431817636880213,0.3059113191663233,0.47025694013017294,0.6564869258189836,2.352771186828613,0.05898654736005343
