,PD,PF,FIR,Balance,InferenceTotal(ms),InferenceTime(ms_per_sample)
0,0.3846153550295881,0.14999999250000037,0.6249999218750099,0.5521170582532977,1.4523199796676636,0.04400969635356556
1,0.9230768520710114,0.09999999500000024,0.8571427959183717,0.9107890990761075,2.6959359645843506,0.08169502922982881
2,0.5384614970414233,0.14999999250000037,0.699999930000007,0.6568398424472588,3.6638081073760986,0.11102448810230602
3,0.6923076390532585,0.1999999900000005,0.6923076390532585,0.7405056985356132,2.0165441036224365,0.06110739707946777
4,0.7692307100591762,0.31578945706371275,0.6249999609375024,0.7234340527357115,1.4090880155563354,0.04403400048613548
5,0.615384568047341,0.10526315235457093,0.7999999200000081,0.7180342558574251,1.6462080478668213,0.051444001495838165
6,0.5384614970414233,0.10526315235457093,0.7777776913580343,0.6652626993022247,1.953503966331482,0.06104699894785881
7,0.615384568047341,0.15789472853185638,0.7272726611570308,0.7060103949165217,1.9692480564117432,0.061539001762866974
8,0.6923076390532585,0.26315788088642733,0.6428570969387788,0.713707615140033,1.5813119411468506,0.04941599816083908
9,0.5833332847222263,0.2499999875000006,0.5833332847222263,0.6564078396045905,1.9312000274658203,0.060350000858306885
Average,0.6352563610166048,0.17973683286911404,0.7030690901960229,0.7043108555868784,2.03191682100296,0.06256666124770136
