,PD,PF,FIR,Balance,InferenceTotal(ms),InferenceTime(ms_per_sample)
0,0.6499999675000016,0.13749999828125004,0.5416666440972231,0.7340993867275372,2.5175039768218994,0.025175039768218995
1,0.6190475895691624,0.15189873225444644,0.5199999792000009,0.7100017552867144,2.3646399974823,0.023646399974823
2,0.6666666349206364,0.11392404919083482,0.6086956257088858,0.7509118416512258,1.7105920314788818,0.017105920314788817
3,0.5238094988662143,0.07594936612722322,0.6470587854671302,0.6590266142459409,2.707871913909912,0.027078719139099122
4,0.6190475895691624,0.15189873225444644,0.5199999792000009,0.7100017552867144,2.652575969696045,0.02652575969696045
5,0.5238094988662143,0.2531645537574107,0.3548386982310097,0.6186539074218573,2.847615957260132,0.028476159572601318
6,0.6666666349206364,0.08860759381509375,0.6666666349206364,0.7561122820263053,2.579871892929077,0.02579871892929077
7,0.5499999725000013,0.10126582150296429,0.5789473379501401,0.6738445222331305,1.9844160079956055,0.020044606141369752
8,0.799999960000002,0.15189873225444644,0.5714285510204089,0.8224144700989002,2.685728073120117,0.0271285663951527
9,0.799999960000002,0.16455695994231698,0.5517241189060649,0.8168620614598683,1.8929920196533203,0.0191211315116497
Average,0.6419047306712032,0.13906645393804332,0.55610263547015,0.7251928596438194,2.394380784034729,0.024010102144395466
