,PD,PF,FIR,Balance,InferenceTotal(ms),InferenceTime(ms_per_sample)
0,0.7142856122449125,0.23809523431594867,0.2499999875000006,0.7370151601572525,2.1334400177001953,0.03047771453857422
1,0.16666663888889352,0.23809523431594867,0.06249999609375024,0.3871648544083408,2.231487989425659,0.032340405643850136
2,0.8333331944444675,0.12698412496850595,0.3846153550295881,0.8518399647878977,3.799072027206421,0.055059014887049576
3,0.49999991666668053,0.26984126555807514,0.14999999250000037,0.5982448557072916,1.9203840494155884,0.02783165289008099
4,0.8333331944444675,0.3174603124212649,0.19999999200000032,0.7464661028218389,2.516576051712036,0.03647211669147878
5,0.6666665555555741,0.11111110934744271,0.3636363305785154,0.7515479283588035,2.25763201713562,0.03271930459616841
6,0.8333331944444675,0.17460317183169569,0.3124999804687512,0.8293188767206896,2.9836161136627197,0.04324081324148869
7,0.4285713673469475,0.4838709599375652,0.09090908815427007,0.4705371646250145,2.244191884994507,0.032524520072384155
8,0.57142848979593,0.16129031997918838,0.2857142653061239,0.6762036854150544,1.841536045074463,0.02668892818948497
9,0.57142848979593,0.22580644797086374,0.2222222098765439,0.6574638038806587,2.004672050476074,0.029053218122841656
Average,0.6119046653628271,0.2347158180646499,0.23220971975075444,0.6705802396882843,2.393260824680328,0.03464076888734016
