,PD,PF,FIR,Balance,InferenceTotal(ms),InferenceTime(ms_per_sample)
0,0.8749998906250137,0.09289617435575862,0.2916666545138894,0.8898756917077477,5.490272045135498,0.02874487981746334
1,0.8749998906250137,0.0491803276001075,0.4374999726562517,0.9050164962569488,4.934336185455322,0.025834220866258233
2,0.9999998750000157,0.08196721266684584,0.34782607183364905,0.9420404280882461,5.032256126403809,0.026346890714156065
3,0.9999998888889013,0.03846153825021133,0.5624999648437522,0.9728035854882963,4.184383869171143,0.021907768948540015
4,0.9999998888889013,0.10439560382200218,0.32142855994898,0.9261811606113561,5.456768035888672,0.028569466156485195
5,0.9999998888889013,0.3131868114660065,0.13636363429752069,0.7785434818341801,4.142496109008789,0.021688461303710938
6,0.9999998888889013,0.02747252732157952,0.6428570969387788,0.9805739896344196,3.2762560844421387,0.017153173216974547
7,0.5555554938271674,0.1263736256792658,0.17857142219387778,0.673272887309198,5.37283182144165,0.02813000953634372
8,0.8749998906250137,0.08791208742905447,0.3043478128544429,0.8919408438403014,3.5156478881835938,0.01850340993780839
9,0.9999998750000157,0.06593406557179085,0.399999980000001,0.9533775751229044,4.5294718742370605,0.023839325653879265
Average,0.9180554471257846,0.09877799741626225,0.3623061170081144,0.8913626139893598,4.593472003936768,0.024071760615161968
