,PD,PF,FIR,Balance,InferenceTotal(ms),InferenceTime(ms_per_sample)
0,0.9999998750000157,0.02127659566923193,0.5714285306122479,0.9849551749214621,8.178303718566895,0.028201047305403085
1,0.9999998571428775,0.05319148917307982,0.3181818037190089,0.9623879373041688,6.28323221206665,0.021741287931026473
2,0.7142856122449125,0.01773049639102661,0.499999950000005,0.7975807792321383,9.452735900878906,0.03270842872276438
3,0.9999998571428775,0.05673758845128515,0.3043478128544429,0.9598804664577976,7.276800155639648,0.025179239292870755
4,0.9999998571428775,0.03546099278205322,0.4117646816609011,0.9749252915359995,5.457888126373291,0.018885426042814155
5,0.9999998750000157,0.03558718848545485,0.4444444197530878,0.9748360576984159,6.9890241622924805,0.024183474610008582
6,0.8749998906250137,0.014234875394181938,0.636363578512402,0.9110402927690113,7.454080104827881,0.025792664722587823
7,0.7499999062500118,0.03558718848545485,0.37499997656250145,0.8214411933573393,5.853343963623047,0.020253785341256218
8,0.9999998750000157,0.024911031939818393,0.5333332977777802,0.982385240388778,5.789087772369385,0.02003144557913282
9,0.7499999062500118,0.0462633450310913,0.31578945706371275,0.8202218812418087,7.1056318283081055,0.024586961343626663
Average,0.9089284511798631,0.03409807918026781,0.441065350851609,0.9189654314906919,6.984012794494629,0.024156376089149098
