,PD,PF,FIR,Balance,InferenceTotal(ms),InferenceTime(ms_per_sample)
0,0.599999940000006,0.39999996000000404,0.599999940000006,0.5999999899999979,3.160896062850952,0.1580448031425476
1,0.499999950000005,0.19999998000000202,0.7142856122449125,0.6192113171324556,1.5237760543823242,0.07618880271911621
2,0.299999970000003,0.299999970000003,0.49999991666668053,0.46148350814482975,1.739743947982788,0.0869871973991394
3,0.39999996000000404,0.0,0.9999997500000625,0.5757359030038032,1.1579840183258057,0.057899200916290285
4,0.499999950000005,0.11111109876543349,0.8333331944444675,0.6378220559801719,1.6783039569854736,0.08833178720976177
5,0.699999930000007,0.22222219753086697,0.7777776913580343,0.7360087623845742,1.5483200550079346,0.08149052921094392
6,0.599999940000006,0.11111109876543349,0.857142734693895,0.7064478544884566,1.9325120449066162,0.10171116025824296
7,0.39999996000000404,0.0,0.9999997500000625,0.5757359030038032,1.2533760070800781,0.06596715826737254
8,0.44444439506173394,0.299999970000003,0.57142848979593,0.5535461881793787,1.3764159679412842,0.07244294568112022
9,0.6666665925926009,0.19999998000000202,0.7499999062500118,0.7251262539875549,1.9349759817123413,0.10184084114275481
Average,0.5111110587654375,0.1844444255061748,0.7603966985454063,0.6191117736305025,1.7306304097175598,0.08909044259472897
