,PD,PF,FIR,Balance,InferenceTotal(ms),InferenceTime(ms_per_sample)
0,0.499999750000125,0.0,0.9999990000010001,0.6464464326301194,2.0577280521392822,0.34295467535654706
1,0.0,0.49999987500003124,0.0,0.20943062448636218,1.5042239427566528,0.25070399045944214
2,0.0,0.0,0.0,0.29289321881345254,1.3995519876480103,0.2332586646080017
3,0.99999950000025,0.49999987500003124,0.49999987500003124,0.6464466977948751,1.3078720569610596,0.2179786761601766
4,0.33333322222225925,0.0,0.9999990000010001,0.5285954006415744,2.5994560718536377,0.43324267864227295
5,0.33333322222225925,0.0,0.9999990000010001,0.5285954006415744,1.1674879789352417,0.19458132982254028
6,0.0,0.0,0.0,0.29289321881345254,1.407039999961853,0.2814079999923706
7,0.99999950000025,0.6666664444445185,0.49999987500003124,0.5285956363436237,1.388543963432312,0.2777087926864624
8,0.99999950000025,0.0,0.99999950000025,0.9999996464467862,1.8021759986877441,0.36043519973754884
9,0.99999950000025,0.0,0.99999950000025,0.9999996464467862,1.9641599655151367,0.39283199310302735
Average,0.5166664194445644,0.1666666194444581,0.5999995750003563,0.5673895923058607,1.659824001789093,0.29851040005683904
