,PD,PF,FIR,Balance,InferenceTotal(ms),InferenceTime(ms_per_sample)
0,0.3636363305785154,0.24137930202140337,0.3636363305785154,0.5187398379234386,1.3554879426956177,0.03388719856739044
1,0.5833332847222263,0.21428570663265334,0.5384614970414233,0.6686923516673476,1.3351999521255493,0.03337999880313873
2,0.5833332847222263,0.49999998214285774,0.3333333174603182,0.5397766119789069,1.861664056777954,0.04654160141944885
3,0.3333333055555579,0.3928571288265311,0.2666666488888901,0.4528340264822269,3.268415927886963,0.08171039819717407
4,0.41666663194444736,0.21428570663265334,0.4545454132231443,0.5605707210744314,1.5610239505767822,0.03902559876441956
5,0.3333333055555579,0.46428569770408223,0.23529410380622917,0.42554125884705807,1.3657599687576294,0.034143999218940735
6,0.6666666111111158,0.10714285331632667,0.7272726611570308,0.7524209831539515,1.5684159994125366,0.039210399985313414
7,0.4999999583333368,0.32142855994898,0.39999997333333515,0.5796927547510393,2.49017596244812,0.062254399061203
8,0.6666666111111158,0.28571427551020445,0.4999999687500019,0.6895617650977339,1.6397440433502197,0.04099360108375549
9,0.3636363305785154,0.17857142219387778,0.44444439506173394,0.5326422823019178,1.5327359437942505,0.03930092163575001
Average,0.48106056542126147,0.291995063492957,0.42636543093006224,0.5720472593278052,1.7978623747825622,0.04504481167365343
