,PD,PF,FIR,Balance,InferenceTotal(ms),InferenceTime(ms_per_sample)
0,0.7692307100591762,0.29999998500000075,0.6249999609375024,0.7323673635561307,3.5460479259490967,0.10745599775603323
1,0.8461537810650938,0.09999999500000024,0.8461537810650938,0.8702528264651457,1.1963839530944824,0.03625405918468128
2,0.8461537810650938,0.09999999500000024,0.8461537810650938,0.8702528264651457,2.2886080741882324,0.06935175982388583
3,0.8461537810650938,0.1999999900000005,0.7333332844444478,0.8215782313161208,1.5295360088348389,0.04634957602529815
4,0.8461537810650938,0.15789472853185638,0.7857142295918408,0.8441163825498078,1.5464320182800293,0.048326000571250916
5,0.8461537810650938,0.21052630470914185,0.7333332844444478,0.8156226911262485,5.090559959411621,0.15907999873161316
6,0.7692307100591762,0.26315788088642733,0.6666666222222252,0.7525060248688596,1.55948805809021,0.04873400181531906
7,0.9230768520710114,0.26315788088642733,0.7058823114186875,0.8061324666686811,2.391648054122925,0.0747390016913414
8,0.7692307100591762,0.31578945706371275,0.6249999609375024,0.7234340527357115,1.1376320123672485,0.03555100038647652
9,0.8333332638888947,0.399999980000001,0.5555555246913597,0.6935870556537062,1.892575979232788,0.05914299935102463
Average,0.8294871151462904,0.23105261970775684,0.7122792740818201,0.7929849921405558,2.217891204357147,0.06849843953369242
