,PD,PF,FIR,Balance,InferenceTotal(ms),InferenceTime(ms_per_sample)
0,0.6999999650000017,0.09999999875000001,0.6363636074380178,0.7763931790508167,2.3288960456848145,0.023288960456848144
1,0.7619047256235845,0.15189873225444644,0.5714285510204089,0.8002969898312889,1.9281599521636963,0.019281599521636963
2,0.7619047256235845,0.12658227687870535,0.6153845917159773,0.8093269388453395,2.105952024459839,0.02105952024459839
3,0.8095237709750585,0.12658227687870535,0.6296296063100145,0.8382837876968434,5.186399936676025,0.051863999366760255
4,0.7142856802721105,0.13924050456657588,0.5769230547337286,0.7752550438724761,3.967423915863037,0.03967423915863037
5,0.6190475895691624,0.22784809838166964,0.4193548251821024,0.6861214447041593,2.0287680625915527,0.020287680625915527
6,0.8095237709750585,0.11392404919083482,0.6538461286982258,0.8430607079033461,2.8753600120544434,0.028753600120544433
7,0.8499999575000021,0.18987341531805804,0.5312499833984381,0.8288977986778883,2.6004159450531006,0.026266827727809097
8,0.8499999575000021,0.10126582150296429,0.679999972800001,0.8720258241779393,2.381887912750244,0.024059473866164083
9,0.9499999525000024,0.15189873225444644,0.6129032060353804,0.8869220852453716,3.3513600826263428,0.033852122046730736
Average,0.7826190095538567,0.14291139059764063,0.5927083527332295,0.8116583800005468,2.8754623889923097,0.0288388023135638
