,PD,PF,FIR,Balance,InferenceTotal(ms),InferenceTime(ms_per_sample)
0,0.9999998750000157,0.05464480844456389,0.4444444197530878,0.9613602853921078,6.333312034606934,0.03315870175186876
1,0.9999998750000157,0.03278688506673833,0.5714285306122479,0.9768161712351568,3.281280040740967,0.017179476653094067
2,0.9999998750000157,0.10928961688912778,0.28571427551020445,0.9227205707843674,3.8612160682678223,0.020215790933339382
3,0.9999998888889013,0.02747252732157952,0.6428570969387788,0.9805739896344196,7.705984115600586,0.04034546657382506
4,0.9999998888889013,0.03846153825021133,0.5624999648437522,0.9728035854882963,5.302847862243652,0.027763601373003415
5,0.9999998888889013,0.04945054917884314,0.49999997222222375,0.9650331813421529,4.882016181945801,0.025560294146313094
6,0.9999998888889013,0.010989010928631809,0.8181817438016598,0.9922295958534342,7.1453118324279785,0.037410009593863765
7,0.9999998888889013,0.09340659289337037,0.3461538328402372,0.93395156475752,3.8431360721588135,0.02012113126784719
8,0.9999998750000157,0.021978021857263618,0.6666666111111158,0.9844591917074114,4.732255935668945,0.02490661018773129
9,0.9999998750000157,0.032967032785895425,0.5714285306122479,0.9766887875613265,5.181759834289551,0.02727242018047132
Average,0.9999998819444587,0.047144658361622516,0.5409374978245556,0.9666636923756192,5.226911997795105,0.027393350266135735
