,PD,PF,FIR,Balance,InferenceTotal(ms),InferenceTime(ms_per_sample)
0,0.8999999100000091,0.19999998000000202,0.8181817438016598,0.8418861011801817,1.1414079666137695,0.05707039833068848
1,0.7999999200000081,0.09999999000000101,0.8888887901234679,0.8418860695574177,2.1485440731048584,0.10742720365524291
2,0.7999999200000081,0.299999970000003,0.7272726611570308,0.7450490105922258,1.3703360557556152,0.06851680278778076
3,0.599999940000006,0.499999950000005,0.5454544958677732,0.547230744197441,1.494752049446106,0.07473760247230529
4,0.699999930000007,0.33333329629630043,0.699999930000007,0.6828950265134921,2.0372159481048584,0.10722189200551886
5,0.99999990000001,0.22222219753086697,0.8333332638888947,0.8428651771957316,2.3434560298919678,0.12333979104694567
6,0.8999999100000091,0.0,0.9999998888889013,0.9292892582417414,1.4875199794769287,0.07829052523562782
7,0.8999999100000091,0.11111109876543349,0.8999999100000091,0.8942983106358555,2.0314879417419434,0.10692041798641808
8,0.7777776913580343,0.19999998000000202,0.7777776913580343,0.7885966574789246,2.1212480068206787,0.11164463193793046
9,0.7777776913580343,0.19999998000000202,0.7777776913580343,0.7885966574789246,3.0932159423828125,0.16280083907277962
Average,0.8155554722716136,0.2166666442592616,0.7968686066443812,0.7902593013071936,1.9269183993339538,0.09979701045312381
