,PD,PF,FIR,Balance,InferenceTotal(ms),InferenceTime(ms_per_sample)
0,0.99999950000025,0.0,0.99999950000025,0.9999996464467862,1.4820480346679688,0.24700800577799478
1,0.499999750000125,0.0,0.9999990000010001,0.6464464326301194,2.938368082046509,0.48972801367441815
2,0.499999750000125,0.7499998125000469,0.24999993750001562,0.3626225730581436,3.266655921936035,0.5444426536560059
3,0.99999950000025,0.24999993750001562,0.6666664444445185,0.8232233488971723,1.276352047920227,0.21272534132003784
4,0.33333322222225925,0.0,0.9999990000010001,0.5285954006415744,2.039520025253296,0.33992000420888263
5,0.6666664444445185,0.0,0.99999950000025,0.7642975824696963,2.5637118816375732,0.4272853136062622
6,0.99999950000025,0.33333322222225925,0.6666664444445185,0.7642978181716129,2.001312017440796,0.40026240348815917
7,0.99999950000025,0.0,0.99999950000025,0.9999996464467862,1.5014400482177734,0.3002880096435547
8,0.99999950000025,0.0,0.99999950000025,0.9999996464467862,2.057375907897949,0.41147518157958984
9,0.99999950000025,0.0,0.99999950000025,0.9999996464467862,2.230560064315796,0.44611201286315916
Average,0.7999996166668527,0.13333329722223217,0.8583328326392301,0.7889481741655464,2.1357344031333922,0.38192469398180645
