,PD,PF,FIR,Balance,InferenceTotal(ms),InferenceTime(ms_per_sample),InferencePerModel(ms_per_sample_per_model)
0,0.6923076390532585,0.34999998250000086,0.5624999648437522,0.6704741461319152,4.947711944580078,0.1499306649872751,0.02998613299745502
1,0.8461537810650938,0.04999999750000012,0.9166665902777842,0.8856132463294654,4.237215995788574,0.12840048472086588,0.025680096944173177
2,0.615384568047341,0.1999999900000005,0.6666666111111158,0.6934636836391723,6.287295818328857,0.19052411570693506,0.038104823141387016
3,0.9230768520710114,0.34999998250000086,0.6315789141274255,0.7466058816415563,5.92848014831543,0.17965091358531604,0.03593018271706321
4,0.7692307100591762,0.26315788088642733,0.6666666222222252,0.7525060248688596,4.597280025482178,0.14366500079631805,0.02873300015926361
5,0.7692307100591762,0.21052630470914185,0.7142856632653098,0.7791201795610581,6.420608043670654,0.20064400136470795,0.04012880027294159
6,0.615384568047341,0.15789472853185638,0.7272726611570308,0.7060103949165217,3.9043519496917725,0.12201099842786789,0.024402199685573576
7,0.7692307100591762,0.15789472853185638,0.7692307100591762,0.8022815000082939,4.521183967590332,0.14128699898719788,0.028257399797439575
8,0.6923076390532585,0.36842103324099823,0.5624999648437522,0.6605823761799157,3.6689600944519043,0.11465500295162201,0.0229310005903244
9,0.4999999583333368,0.1999999900000005,0.599999940000006,0.6192113199774282,5.2396159172058105,0.16373799741268158,0.03274759948253632
Average,0.719230713584817,0.2307894618400283,0.6817367641907579,0.7315868753254187,4.975270390510559,0.15345061789407874,0.03069012357881575
