,PD,PF,FIR,Balance,InferenceTotal(ms),InferenceTime(ms_per_sample),InferencePerModel(ms_per_sample_per_model)
0,0.6499999675000016,0.13749999828125004,0.5416666440972231,0.7340993867275372,4.179743766784668,0.04179743766784668,0.008359487533569337
1,0.6190475895691624,0.07594936612722322,0.684210490304711,0.7253246960243855,3.8856959342956543,0.03885695934295654,0.007771391868591309
2,0.7619047256235845,0.18987341531805804,0.5161290156087414,0.7846615762051228,6.356704235076904,0.06356704235076904,0.012713408470153809
3,0.6190475895691624,0.13924050456657588,0.5416666440972231,0.7131963588750834,7.613120079040527,0.07613120079040528,0.015226240158081055
4,0.7142856802721105,0.18987341531805804,0.4999999833333339,0.757425695567199,6.563680171966553,0.06563680171966553,0.013127360343933105
5,0.6666666349206364,0.3037974645088929,0.36842104293628836,0.6810924650332292,4.80511999130249,0.0480511999130249,0.00961023998260498
6,0.8095237709750585,0.12658227687870535,0.6296296063100145,0.8382837876968434,4.473343849182129,0.04473343849182129,0.008946687698364257
7,0.5999999700000015,0.08860759381509375,0.6315789141274255,0.7103007337930416,3.4154880046844482,0.034499878835196444,0.00689997576703929
8,0.8999999550000022,0.22784809838166964,0.4999999861111115,0.8240528986653309,4.448448181152344,0.044933820011639834,0.008986764002327967
9,0.8499999575000021,0.12658227687870535,0.6296296063100145,0.8612140396693556,4.766560077667236,0.04814707149158825,0.00962941429831765
Average,0.7190475840929722,0.16058544100742322,0.5542931933236087,0.7629651638257128,5.050790429115295,0.05063548506149138,0.010127097012298277
