,PD,PF,FIR,Balance,InferenceTotal(ms),InferenceTime(ms_per_sample),InferencePerModel(ms_per_sample_per_model)
0,0.7142856122449125,0.20634920307382218,0.27777776234567986,0.7507885386068028,3.2044479846954346,0.04577782835279192,0.009155565670558384
1,0.16666663888889352,0.15873015621063244,0.09090908264462885,0.40015012160066854,7.357503890991211,0.10663049117378566,0.021326098234757132
2,0.6666665555555741,0.17460317183169569,0.2666666488888901,0.7339196993397727,5.03388786315918,0.07295489656752434,0.014590979313504868
3,0.6666665555555741,0.23809523431594867,0.21052630470914185,0.710344579034716,9.918720245361328,0.14374956877335257,0.028749913754670516
4,0.6666665555555741,0.19047618745275893,0.24999998437500096,0.728529593535756,7.299263954162598,0.10578643411829852,0.021157286823659704
5,0.6666665555555741,0.11111110934744271,0.3636363305785154,0.7515479283588035,4.539072036743164,0.06578365270642267,0.013156730541284533
6,0.49999991666668053,0.12698412496850595,0.2727272479338866,0.6352226354834065,3.2464001178741455,0.04704927707063979,0.009409855414127958
7,0.1428571224489825,0.04838709599375652,0.24999993750001562,0.3929434854994357,7.947743892669678,0.115184694096662,0.0230369388193324
8,0.857142734693895,0.32258063995837677,0.23076922189349144,0.7505341030053458,3.616607904434204,0.05241460731064064,0.010482921462128128
9,0.285714244897965,0.11290322398543187,0.22222219753086697,0.4886531128832461,5.237088203430176,0.07589982903521994,0.015179965807043987
Average,0.5333332492063625,0.1690220147138372,0.24352347184001175,0.6342633797347953,5.740073609352112,0.08312312792053381,0.01662462558410676
