,PD,PF,FIR,Balance,InferenceTotal(ms),InferenceTime(ms_per_sample),InferencePerModel(ms_per_sample_per_model)
0,0.9999998750000157,0.060109289289020276,0.4210526094182837,0.9574963139313379,9.104864120483398,0.04766944565698114,0.00953388913139623
1,0.9999998750000157,0.05464480844456389,0.4444444197530878,0.9613602853921078,8.169631958007812,0.04277294218852258,0.008554588437704515
2,0.9999998750000157,0.03278688506673833,0.5714285306122479,0.9768161712351568,9.0033597946167,0.04713800939589895,0.00942760187917979
3,0.9999998888889013,0.03846153825021133,0.5624999648437522,0.9728035854882963,10.497152328491211,0.05495891271461367,0.010991782542922733
4,0.9999998888889013,0.07692307650042265,0.39130433081285515,0.9456071709767628,16.824575424194336,0.0880867823256248,0.01761735646512496
5,0.9999998888889013,0.06593406557179085,0.4285714081632663,0.953377575122922,8.222944259643555,0.04305206418661547,0.008610412837323094
6,0.9999998888889013,0.021978021857263618,0.6923076390532585,0.9844591917074641,8.870688438415527,0.046443394965526325,0.009288678993105265
7,0.9999998888889013,0.021978021857263618,0.6923076390532585,0.9844591917074641,9.472352027893066,0.04959346611462338,0.009918693222924676
8,0.7499999062500118,0.021978021857263618,0.599999940000006,0.8225414410069759,7.762976169586182,0.04085776931361148,0.008171553862722296
9,0.9999998750000157,0.05494505464315904,0.4444444197530878,0.9611479792690563,10.655263900756836,0.05608033631977282,0.011216067263954565
Average,0.9749998850694583,0.04497387833376972,0.5248360901463104,0.9520068905837544,9.858380842208863,0.05166531231817906,0.01033306246363581
