,PD,PF,FIR,Balance,InferenceTotal(ms),InferenceTime(ms_per_sample),InferencePerModel(ms_per_sample_per_model)
0,0.599999940000006,0.19999998000000202,0.7499999062500118,0.683772202360387,5.699552059173584,0.2849776029586792,0.05699552059173584
1,0.7999999200000081,0.19999998000000202,0.7999999200000081,0.7999999699999968,7.8579840660095215,0.39289920330047606,0.07857984066009521
2,0.599999940000006,0.39999996000000404,0.599999940000006,0.5999999899999979,3.2649919986724854,0.16324959993362426,0.032649919986724854
3,0.499999950000005,0.09999999000000101,0.8333331944444675,0.6394448391715923,4.239999771118164,0.2119999885559082,0.04239999771118164
4,0.599999940000006,0.22222219753086697,0.7499999062500118,0.6764395318681171,4.698336124420166,0.24728084865369296,0.04945616973073859
5,0.699999930000007,0.11111109876543349,0.8749998906250137,0.7737858113768473,6.317920207977295,0.3325221162093313,0.06650442324186626
6,0.599999940000006,0.11111109876543349,0.857142734693895,0.7064478544884566,3.7217600345611572,0.19588210708216616,0.03917642141643323
7,0.599999940000006,0.11111109876543349,0.857142734693895,0.7064478544884566,4.979328155517578,0.2620699029219778,0.05241398058439556
8,0.7777776913580343,0.39999996000000404,0.636363578512402,0.6764395555246517,5.165152072906494,0.2718501091003418,0.05437002182006836
9,0.6666665925926009,0.39999996000000404,0.599999940000006,0.6318212876239095,5.30620813369751,0.2792741122998689,0.05585482245997379
Average,0.6444443783950685,0.22555553238271847,0.7558981745469717,0.6894598896902414,5.1251232624053955,0.26420055910160667,0.052840111820321334
