,PD,PF,FIR,Balance,InferenceTotal(ms),InferenceTime(ms_per_sample),Params
0,0.9999998750000157,0.028368794225642573,0.4999999687500019,0.9799402332287677,5.478303909301758,0.018890703135523303,9985.0
1,0.9999998571428775,0.04609929061666918,0.34999998250000086,0.9674028789969074,5.772416114807129,0.01997375818272363,9985.0
2,0.7142856122449125,0.024822694947437253,0.41666663194444736,0.797208385830777,5.753376007080078,0.019907875457024493,9985.0
3,0.9999998571428775,0.03546099278205322,0.4117646816609011,0.9749252915359995,5.521344184875488,0.01910499717949996,9985.0
4,0.857142734693895,0.024822694947437253,0.4615384260355057,0.897471066436853,5.7946882247924805,0.020050824307240415,9985.0
5,0.8749998906250137,0.042704626182545814,0.36842103324099823,0.9065957376744789,4.13756799697876,0.014316844280203321,9985.0
6,0.8749998906250137,0.028469750788363876,0.46666663555555765,0.9093480445502965,5.368447780609131,0.018575943877540246,9985.0
7,0.8749998906250137,0.017793594242727424,0.5833332847222263,0.910720552925566,4.912064075469971,0.016996761506816508,9985.0
8,0.9999998750000157,0.014234875394181938,0.6666666111111158,0.9899344230790403,5.410431861877441,0.018721217515146858,9985.0
9,0.6249999218750099,0.021352313091272907,0.4545454132231443,0.7344054030405585,5.2130560874938965,0.018038256358110367,9985.0
Average,0.8821427404974644,0.028412962721833142,0.46796026687438996,0.9067952017299244,5.336169624328614,0.01845771817998291,9985.0
