,PD,PF,FIR,Balance,InferenceTotal(ms),InferenceTime(ms_per_sample),Params
0,0.599999940000006,0.299999970000003,0.6666665925926009,0.6464465881935224,0.9703999757766724,0.04851999878883362,11777.0
1,0.7999999200000081,0.19999998000000202,0.7999999200000081,0.7999999699999968,0.7616320252418518,0.03808160126209259,11777.0
2,0.699999930000007,0.39999996000000404,0.636363578512402,0.6464466023356547,0.5214080214500427,0.026070401072502136,11777.0
3,0.599999940000006,0.09999999000000101,0.857142734693895,0.7084523658130639,0.7901759743690491,0.039508798718452455,11777.0
4,0.7999999200000081,0.22222219753086697,0.7999999200000081,0.7885966685746759,0.9574400186538696,0.05039157992915103,11777.0
5,0.699999930000007,0.11111109876543349,0.8749998906250137,0.7737858113768473,0.5051519870758057,0.0265869466882003,11777.0
6,0.599999940000006,0.11111109876543349,0.857142734693895,0.7064478544884566,0.690015971660614,0.036316630087400735,11777.0
7,0.599999940000006,0.11111109876543349,0.857142734693895,0.7064478544884566,1.0414719581604004,0.054814313587389495,11777.0
8,0.8888887901234679,0.39999996000000404,0.6666666111111158,0.7064479015913601,1.0734399557113647,0.056496839774282354,11777.0
9,0.6666665925926009,0.299999970000003,0.6666665925926009,0.6828950154177407,0.9837440252304077,0.051776001327916196,11777.0
Average,0.6955554842716123,0.22555553238271847,0.7682791309515434,0.7165966632279774,0.8294879913330078,0.042856311123622086,11777.0
