,PD,PF,FIR,Balance,InferenceTotal(ms),InferenceTime(ms_per_sample),Params
0,0.99999950000025,0.0,0.99999950000025,0.9999996464467862,1.4458880424499512,0.2409813404083252,11777.0
1,0.0,0.0,0.0,0.29289321881345254,2.9317760467529297,0.4886293411254883,11777.0
2,0.0,0.0,0.0,0.29289321881345254,0.7283840179443359,0.12139733632405598,11777.0
3,0.99999950000025,0.9999997500000625,0.33333327777778704,0.29289339559001526,1.403488039970398,0.23391467332839966,11777.0
4,0.6666664444445185,0.9999996666667778,0.399999920000016,0.2546441814163769,1.0169919729232788,0.1694986621538798,11777.0
5,0.6666664444445185,0.0,0.99999950000025,0.7642975824696963,0.6518080234527588,0.1086346705754598,11777.0
6,0.0,0.0,0.0,0.29289321881345254,0.8468160033226013,0.16936320066452026,11777.0
7,0.99999950000025,0.6666664444445185,0.49999987500003124,0.5285956363436237,0.9943680167198181,0.19887360334396362,11777.0
8,0.99999950000025,0.9999996666667778,0.399999920000016,0.29289345451554594,0.6386880278587341,0.12773760557174682,11777.0
9,0.99999950000025,0.0,0.99999950000025,0.9999996464467862,0.7334399819374084,0.1466879963874817,11777.0
Average,0.6333330388890287,0.3666665527778136,0.46333314927786,0.5012003199669188,1.1391648173332214,0.20057184298833214,11777.0
