,PD,PF,FIR,Balance,InferenceTotal(ms),InferenceTime(ms_per_sample),Params
0,0.3636363305785154,0.24137930202140337,0.3636363305785154,0.5187398379234386,0.9647359848022461,0.02411839962005615,11777.0
1,0.6666666111111158,0.24999999107142887,0.5333332977777802,0.7053721468667103,1.2637120485305786,0.031592801213264465,11777.0
2,0.5833332847222263,0.4285714132653067,0.36842103324099823,0.5773390200831217,0.9262080192565918,0.023155200481414794,11777.0
3,0.3333333055555579,0.32142855994898,0.3076922840236705,0.47666416106272913,0.9351999759674072,0.02337999939918518,11777.0
4,0.5833332847222263,0.17857142219387778,0.5833332847222263,0.6794544459482292,0.6683520078659058,0.016708800196647645,11777.0
5,0.3333333055555579,0.5357142665816333,0.21052630470914185,0.39525449282339586,1.0987520217895508,0.02746880054473877,11777.0
6,0.4999999583333368,0.28571427551020445,0.42857139795918586,0.5927944690349934,1.158400058746338,0.028960001468658448,11777.0
7,0.5833332847222263,0.3928571288265311,0.3888888672839518,0.5950630448513035,0.6963840126991272,0.01740960031747818,11777.0
8,0.4999999583333368,0.24999999107142887,0.4615384260355057,0.6047152689501025,0.6726080179214478,0.016815200448036194,11777.0
9,0.4545454132231443,0.4285714132653067,0.2941176297577865,0.509493036489729,1.2480319738388062,0.03200081984202067,11777.0
Average,0.4901514736857243,0.3312807763756101,0.3940058856088762,0.5654889924033754,0.9632384121418,0.02416096235315005,11777.0
