,PD,PF,FIR,Balance,InferenceTotal(ms),InferenceTime(ms_per_sample)
0,0.7692307100591762,0.29999998500000075,0.6249999609375024,0.7323673635561307,1.73580801486969,0.05260024287483909
1,0.9230768520710114,0.2499999875000006,0.7058823114186875,0.8150443777046701,1.244320034980774,0.03770666772669012
2,0.8461537810650938,0.1999999900000005,0.7333332844444478,0.8215782313161208,1.7583359479904175,0.05328290751486114
3,0.8461537810650938,0.1999999900000005,0.7333332844444478,0.8215782313161208,0.9591040015220642,0.029063757621880734
4,0.8461537810650938,0.15789472853185638,0.7857142295918408,0.8441163825498078,3.5817599296569824,0.1119299978017807
5,0.9230768520710114,0.26315788088642733,0.7058823114186875,0.8061324666686811,1.782431960105896,0.05570099875330925
6,0.8461537810650938,0.26315788088642733,0.6874999570312527,0.7844533352691323,4.820223808288574,0.15063199400901794
7,0.8461537810650938,0.21052630470914185,0.7333332844444478,0.8156226911262485,1.8781440258026123,0.058692000806331635
8,0.7692307100591762,0.31578945706371275,0.6249999609375024,0.7234340527357115,1.7942719459533691,0.056070998311042786
9,0.7499999375000053,0.34999998250000086,0.5624999648437522,0.6958618578671838,1.3218239545822144,0.0413069985806942
Average,0.8365383967085849,0.2510526187077569,0.6897478549512569,0.7860188990109809,2.087622362375259,0.06469865640004475
