,PD,PF,FIR,Balance,InferenceTotal(ms),InferenceTime(ms_per_sample)
0,0.9499999525000024,0.14999999812500003,0.6129032060353804,0.8881965917614717,1.8775999546051025,0.018775999546051025
1,0.8095237709750585,0.10126582150296429,0.679999972800001,0.8474615451300358,2.363071918487549,0.023630719184875488
2,0.7619047256235845,0.12658227687870535,0.6153845917159773,0.8093269388453395,1.5778559446334839,0.015778559446334838
3,0.8095237709750585,0.18987341531805804,0.5312499833984381,0.8098249389797577,1.1247040033340454,0.011247040033340453
4,0.6190475895691624,0.13924050456657588,0.5416666440972231,0.7131963588750834,1.3952640295028687,0.013952640295028686
5,0.8095237709750585,0.18987341531805804,0.5312499833984381,0.8098249389797577,2.2434239387512207,0.022434239387512208
6,0.6666666349206364,0.10126582150296429,0.6363636074380178,0.7536609055795218,4.555552005767822,0.045555520057678225
7,0.799999960000002,0.2151898706937991,0.484848470156107,0.7922661601360833,1.2039040327072144,0.012160646795022368
8,0.799999960000002,0.15189873225444644,0.5714285510204089,0.8224144700989002,1.8191039562225342,0.018374787436591253
9,0.8999999550000022,0.15189873225444644,0.5999999800000007,0.8714052219946129,1.6412160396575928,0.01657793979452114
Average,0.7926190090538567,0.15170885884150181,0.5805094990059992,0.8117578070380563,1.9801695823669434,0.01984880919769557
