,PD,PF,FIR,Balance,InferenceTotal(ms),InferenceTime(ms_per_sample)
0,0.9999998571428775,0.26984126555807514,0.2916666545138894,0.8091934112798984,1.6151039600372314,0.02307291371481759
1,0.8333331944444675,0.650793640463593,0.10869564981096413,0.5249683239288447,1.5936959981918335,0.023097043452055557
2,0.8333331944444675,0.11111110934744271,0.41666663194444736,0.8583604880435811,2.560544013977051,0.037109333535899285
3,0.6666665555555741,0.22222221869488543,0.2222222098765439,0.7167210741452317,2.3311679363250732,0.033785042555435844
4,0.9999998333333611,0.22222221869488543,0.29999998500000075,0.8428651622304824,2.1084160804748535,0.03055675478949063
5,0.8333331944444675,0.20634920307382218,0.27777776234567986,0.8124395861551709,1.6639679670333862,0.024115477783092552
6,0.8333331944444675,0.15873015621063244,0.3333333111111126,0.8372531312670848,4.030943870544434,0.058419476384701935
7,0.857142734693895,0.27419354396462026,0.2608695538752368,0.7813789833952177,1.8481919765472412,0.02678539096445277
8,0.7142856122449125,0.19354838397502608,0.2941176297577865,0.7559777793830973,2.8559999465942383,0.041391303573829544
9,0.857142734693895,0.3709677359521333,0.20689654458977433,0.7189081472470338,12.8274564743042,0.18590516629426376
Average,0.8428570105442386,0.2679979475935116,0.27122459328254356,0.7658066087075642,3.343548822402954,0.04842379030480395
