,PD,PF,FIR,Balance,InferenceTotal(ms),InferenceTime(ms_per_sample)
0,0.9999998750000157,0.0,0.9999998750000157,0.9999999116116635,4.565631866455078,0.02390383176154491
1,0.9999998750000157,0.005464480844456389,0.8888887901234679,0.9961360285382099,3.5570878982543945,0.018623496849499446
2,0.9999998750000157,0.005464480844456389,0.8888887901234679,0.9961360285382099,2.7311038970947266,0.014298973283218464
3,0.9999998888889013,0.0054945054643159045,0.8999999100000091,0.9961147979261212,2.370944023132324,0.012413319492839393
4,0.9999998888889013,0.05494505464315904,0.47368418559556913,0.9611479792690774,2.792191982269287,0.014618806189891555
5,0.8888887901234679,0.016483516392947713,0.7272726611570308,0.9205726518354561,4.473728179931641,0.02342266062791435
6,0.8888887901234679,0.17032966939379302,0.20512819986850772,0.8561982315198704,3.059743881225586,0.016019601472385268
7,0.8888887901234679,0.0054945054643159045,0.8888887901234679,0.9213365060827954,3.722048044204712,0.019487162535103204
8,0.9999998750000157,0.0054945054643159045,0.8888887901234679,0.9961147979259103,2.611680030822754,0.013745684372751336
9,0.9999998750000157,0.02747252732157952,0.615384568047341,0.9805739896343774,3.199552059173584,0.01683974767986097
Average,0.9666665523148286,0.029664324583333977,0.7477024560162345,0.9624330922881692,3.3083711862564087,0.01733732842650089
