,PD,PF,FIR,Balance,InferenceTotal(ms),InferenceTime(ms_per_sample)
0,0.9736841849030479,0.03738317739540571,0.8222222039506177,0.9676733540527838,12.365887641906738,0.04907098270597912
1,0.9999999736842113,0.02336448587212857,0.8837209096809091,0.9834788136008701,3.7561280727386475,0.014905270129915268
2,0.9473683961218844,0.07943925196523714,0.6792452702029195,0.9326179531344613,3.855072021484375,0.015297904847160218
3,0.9736841849030479,0.04205607456983143,0.8043478086011346,0.9649198379960967,3.4435200691223145,0.013664762179056803
4,0.9999999736842113,0.03271028022098,0.8444444256790128,0.9768703390412253,4.152991771697998,0.01648012607816666
5,0.9729729466764069,0.028037383046554284,0.8571428367346944,0.9724631477883223,5.413887977600098,0.021569274811155767
6,0.9729729466764069,0.04205607456983143,0.7999999822222227,0.9646504949145001,4.268032073974609,0.01700411184850442
7,0.9189188940832732,0.009345794348851428,0.9444444182098773,0.9422873947534401,3.118783950805664,0.012425434066954837
8,0.94594592037984,0.04205607456983143,0.7954545273760335,0.9515719248172828,3.5880959033966064,0.014295202802376918
9,0.94594592037984,0.051401868918682855,0.7608695486767489,0.9472553526321578,5.318240165710449,0.021188207831515735
Average,0.965149334149217,0.03878504654773343,0.8191891931334171,0.9603788612731142,4.92806396484375,0.019590127730078576
