,PD,PF,FIR,Balance,InferenceTotal(ms),InferenceTime(ms_per_sample)
0,0.9999998750000157,0.0035460992782053217,0.8888887901234679,0.9974925291520624,3.3088319301605225,0.011409765276415594
1,0.9999998571428775,0.010638297834615965,0.699999930000007,0.9924775874601827,4.657504081726074,0.016115931078636934
2,0.9999998571428775,0.0035460992782053217,0.8749998906250137,0.9974925291515856,5.523519992828369,0.01911252592674176
3,0.9999998571428775,0.010638297834615965,0.699999930000007,0.9924775874601827,6.751808166503906,0.023362658015584452
4,0.9999998571428775,0.014184397112821287,0.636363578512402,0.9899701166139725,6.497119903564453,0.02248138374935797
5,0.9999998750000157,0.010676156545636454,0.7272726611570308,0.9924508173090538,4.782464027404785,0.016548318433926592
6,0.8749998906250137,0.0,0.9999998571428775,0.911611575011887,5.618271827697754,0.019440386947051053
7,0.9999998750000157,0.0035587188485454845,0.8888887901234679,0.9974836057683047,5.4047040939331055,0.01870139824890348
8,0.9999998750000157,0.0,0.9999998750000157,0.9999999116116635,3.057823896408081,0.010580705523903394
9,0.9999998750000157,0.021352313091272907,0.5714285306122479,0.9849016346188839,8.767711639404297,0.030338102558492376
Average,0.9874998694196604,0.00781403798239187,0.7987841833296537,0.985635789415778,5.436975955963135,0.01880911757590136
