,PD,PF,FIR,Balance,InferenceTotal(ms),InferenceTime(ms_per_sample)
0,0.699999930000007,0.19999998000000202,0.7777776913580343,0.7450489909806182,1.3743040561676025,0.06871520280838013
1,0.7999999200000081,0.19999998000000202,0.7999999200000081,0.7999999699999968,1.1885759830474854,0.05942879915237427
2,0.7999999200000081,0.39999996000000404,0.6666666111111158,0.6837722339831558,0.8871679902076721,0.0443583995103836
3,0.7999999200000081,0.19999998000000202,0.7999999200000081,0.7999999699999968,1.5992640256881714,0.07996320128440856
4,0.8999999100000091,0.22222219753086697,0.8181817438016598,0.8276881851476023,0.9585919976234436,0.05045221040123388
5,0.699999930000007,0.11111109876543349,0.8749998906250137,0.7737858113768473,1.6649919748306274,0.08763115657003302
6,0.599999940000006,0.11111109876543349,0.857142734693895,0.7064478544884566,1.1193599700927734,0.05891368263646176
7,0.599999940000006,0.11111109876543349,0.857142734693895,0.7064478544884566,0.8258559703826904,0.04346610370435213
8,0.8888887901234679,0.39999996000000404,0.6666666111111158,0.7064479015913601,1.0474879741668701,0.055130946008782634
9,0.6666665925926009,0.19999998000000202,0.7499999062500118,0.7251262539875549,0.8221439719200134,0.043270735364211235
Average,0.7455554792716128,0.21555553338271838,0.7868577763644757,0.7474765026044046,1.148774391412735,0.05913304374406212
