,PD,PF,FIR,Balance,InferenceTotal(ms),InferenceTime(ms_per_sample)
0,0.99999950000025,0.0,0.99999950000025,0.9999996464467862,0.9608319997787476,0.16013866662979126
1,0.499999750000125,0.24999993750001562,0.499999750000125,0.6047151541293613,1.238144040107727,0.2063573400179545
2,0.499999750000125,0.7499998125000469,0.24999993750001562,0.3626225730581436,2.071135997772217,0.34518933296203613
3,0.99999950000025,0.0,0.99999950000025,0.9999996464467862,0.7663360238075256,0.12772267063458762
4,0.9999996666667778,0.6666664444445185,0.599999880000024,0.5285956363436972,2.3862719535827637,0.39771199226379395
5,0.6666664444445185,0.0,0.99999950000025,0.7642975824696963,1.3691519498825073,0.22819199164708456
6,0.99999950000025,0.33333322222225925,0.6666664444445185,0.7642978181716129,1.2029759883880615,0.2405951976776123
7,0.99999950000025,0.6666664444445185,0.49999987500003124,0.5285956363436237,1.5206079483032227,0.3041215896606445
8,0.99999950000025,0.0,0.99999950000025,0.9999996464467862,0.8741120100021362,0.17482240200042726
9,0.99999950000025,0.0,0.99999950000025,0.9999996464467862,1.1359360218048096,0.2271872043609619
Average,0.8666662611113047,0.26666658611113586,0.7516663386945964,0.7553122986303281,1.352550393342972,0.2412038387854894
