,PD,PF,FIR,Balance,InferenceTotal(ms),InferenceTime(ms_per_sample)
0,0.636363578512402,0.24137930202140337,0.49999996428571686,0.6913777272484649,1.0200320482254028,0.02550080120563507
1,0.9166665902777842,0.3928571288265311,0.49999997727272827,0.7160271308331054,1.2096320390701294,0.030240800976753236
2,0.7499999375000053,0.35714284438775556,0.47368418559556913,0.6917379016588499,0.640064001083374,0.01600160002708435
3,0.7499999375000053,0.28571427551020445,0.5294117335640156,0.7315482552856825,2.265984058380127,0.05664960145950317
4,0.8333332638888947,0.35714284438775556,0.4999999750000012,0.721316656199814,1.5288640260696411,0.03822160065174103
5,0.41666663194444736,0.35714284438775556,0.3333333111111126,0.5163530060134709,1.1692479848861694,0.029231199622154237
6,0.7499999375000053,0.17857142219387778,0.6428570969387788,0.7827584477196576,1.1550719738006592,0.02887679934501648
7,0.6666666111111158,0.32142855994898,0.47058820761245834,0.6725649168926586,1.5563520193099976,0.03890880048274994
8,0.5833332847222263,0.28571427551020445,0.46666663555555765,0.6427579260146628,1.91702401638031,0.04792560040950775
9,0.5454544958677732,0.3928571288265311,0.35294115570934376,0.5751774847088222,1.669376015663147,0.042804513222131975
Average,0.6848484268824659,0.31699506260009985,0.47694822426452815,0.6741619452575189,1.4131648182868957,0.03543613174022773
