,PD,PF,FIR,Balance,InferenceTotal(ms),InferenceTime(ms_per_sample),InferencePerModel(ms_per_sample_per_model)
0,0.7692307100591762,0.4499999775000011,0.5263157617728547,0.6424007515879029,4.141823768615723,0.1255098111701734,0.025101962234034682
1,0.9230768520710114,0.2499999875000006,0.7058823114186875,0.8150443777046701,1.598207950592041,0.04843054395733458,0.009686108791466915
2,0.9999999230769291,0.34999998250000086,0.6499999675000016,0.7525126389590705,1.431839942932129,0.04338908917976148,0.008677817835952296
3,0.9999999230769291,0.399999980000001,0.6190475895691624,0.7171573016675108,1.544543981552124,0.04680436307733709,0.009360872615467418
4,0.9230768520710114,0.5263157617728547,0.5454545206611581,0.6238846907012124,1.2513600587844849,0.03910500183701515,0.00782100036740303
5,0.9999999230769291,0.26315788088642733,0.7222221820987677,0.8139192779025175,3.137120008468628,0.09803500026464462,0.019607000052928925
6,0.9230768520710114,0.47368418559556913,0.5714285442176883,0.6606669199955282,1.834496021270752,0.057328000664711,0.0114656001329422
7,0.8461537810650938,0.26315788088642733,0.6874999570312527,0.7844533352691323,3.0691840648651123,0.09591200202703476,0.019182400405406953
8,0.9230768520710114,0.5789473379501401,0.5217391077504736,0.5870247036402427,2.0326719284057617,0.06352099776268005,0.012704199552536011
9,0.9999999166666736,0.6999999650000017,0.4615384437869829,0.5050252779181494,1.7356480360031128,0.054239001125097275,0.010847800225019456
Average,0.9307691585305777,0.4255262939591423,0.601112838580703,0.6902089275345937,2.1776895761489867,0.06722738110657894,0.013445476221315788
