,PD,PF,FIR,Balance,InferenceTotal(ms),InferenceTime(ms_per_sample),InferencePerModel(ms_per_sample_per_model)
0,0.57142848979593,0.11111110934744271,0.3636363305785154,0.6869351361306921,1.3193279504776,0.018847542149680003,0.0037695084299360004
1,0.0,0.11111110934744271,0.0,0.2885417515340696,2.7050559520721436,0.03920370945032092,0.007840741890064184
2,0.49999991666668053,0.09523809372637947,0.33333329629630043,0.6400900266525245,2.3375039100646973,0.033876868261807205,0.006775373652361441
3,0.33333327777778704,0.06349206248425297,0.33333327777778704,0.5264623771456942,1.2574080228805542,0.018223304679428322,0.003644660935885664
4,0.33333327777778704,0.07936507810531622,0.285714244897965,0.5252667411371034,1.297536015510559,0.018804869790008102,0.0037609739580016207
5,0.33333327777778704,0.06349206248425297,0.33333327777778704,0.5264623771456942,1.3254719972610474,0.01920973909073982,0.0038419478181479635
6,0.33333327777778704,0.04761904686318973,0.399999920000016,0.5273944074904171,3.433759927749634,0.049764636634052666,0.009952927326810532
7,0.1428571224489825,0.14516128798126957,0.09999999000000101,0.38527822876328044,1.7521920204162598,0.02539408725240956,0.005078817450481912
8,0.57142848979593,0.06451612799167536,0.4999999375000079,0.6935396680403518,2.0313920974731445,0.02944046518077021,0.005888093036154042
9,0.1428571224489825,0.04838709599375652,0.24999993750001562,0.3929434854994357,1.5228159427642822,0.022069796271946118,0.0044139592543892235
Average,0.32619042522676533,0.08294930743249783,0.28993502123283954,0.5192914199539262,1.8982463836669923,0.02748350187611629,0.005496700375223258
