,PD,PF,FIR,Balance,InferenceTotal(ms),InferenceTime(ms_per_sample),InferencePerModel(ms_per_sample_per_model)
0,0.9210526073407209,0.21028037284915713,0.4374999945312501,0.841175370277027,6.996128082275391,0.027762413024902344,0.005552482604980469
1,0.9210526073407209,0.2850467276399686,0.3645833295355903,0.790853726131742,6.0260162353515625,0.023912762838696675,0.004782552567739335
2,0.7631578746537402,0.19626168132587998,0.4084506984725254,0.7824996093159892,6.409791946411133,0.025435682327028305,0.005087136465405661
3,0.8157894522160671,0.17289719545375143,0.45588234623702434,0.82135654768418,7.43558406829834,0.02950628598531087,0.005901257197062175
4,0.8421052409972306,0.23831775589571141,0.3855421640296125,0.7978538799584438,3.9791359901428223,0.015790222183106436,0.0031580444366212873
5,0.8378378151935726,0.17757009262817713,0.4492753558076036,0.8299592519759259,7.574272155761719,0.03017638309068414,0.006035276618136827
6,0.8648648414901394,0.21962616719800857,0.40506328601185715,0.8176580624436979,11.401408195495605,0.045423937033847034,0.009084787406769407
7,0.7837837626004389,0.15887850393047429,0.4603174530108341,0.8102740920084857,6.2709760665893555,0.024983968392786278,0.004996793678557256
8,0.8648648414901394,0.22429906437243427,0.39999999500000005,0.814835773779282,5.242976188659668,0.020888351349241704,0.004177670269848341
9,0.9189188940832732,0.21962616719800857,0.4197530812376163,0.8344557475253715,7.894176006317139,0.031450900423574256,0.006290180084714852
Average,0.8533427937406044,0.21028037284915713,0.41863677038739144,0.8140922061100145,6.923046493530274,0.027533090664917804,0.005506618132983561
