,PD,PF,FIR,Balance,InferenceTotal(ms),InferenceTime(ms_per_sample),InferencePerModel(ms_per_sample_per_model)
0,0.599999940000006,0.299999970000003,0.6666665925926009,0.6464465881935224,2.44268798828125,0.1221343994140625,0.0244268798828125
1,0.7999999200000081,0.19999998000000202,0.7999999200000081,0.7999999699999968,1.454367995262146,0.0727183997631073,0.01454367995262146
2,0.699999930000007,0.39999996000000404,0.636363578512402,0.6464466023356547,2.4166080951690674,0.12083040475845337,0.024166080951690674
3,0.599999940000006,0.09999999000000101,0.857142734693895,0.7084523658130639,1.3564800024032593,0.06782400012016296,0.013564800024032592
4,0.7999999200000081,0.22222219753086697,0.7999999200000081,0.7885966685746759,1.8679360151290894,0.09831242184889943,0.019662484369779888
5,0.699999930000007,0.11111109876543349,0.8749998906250137,0.7737858113768473,1.465567946434021,0.07713515507547479,0.015427031015094957
6,0.599999940000006,0.11111109876543349,0.857142734693895,0.7064478544884566,2.7794559001922607,0.14628715264169792,0.02925743052833959
7,0.599999940000006,0.11111109876543349,0.857142734693895,0.7064478544884566,1.3540480136871338,0.07126568493090178,0.014253136986180356
8,0.8888887901234679,0.39999996000000404,0.6666666111111158,0.7064479015913601,1.011680006980896,0.05324631615688926,0.010649263231377852
9,0.6666665925926009,0.19999998000000202,0.7499999062500118,0.7251262539875549,1.8895360231399536,0.09944926437578704,0.019889852875157408
Average,0.6955554842716123,0.21555553338271838,0.7766124623172845,0.7208197870849589,1.8038367986679078,0.09292031990854363,0.018584063981708726
