,PD,PF,FIR,Balance,InferenceTotal(ms),InferenceTime(ms_per_sample),InferencePerModel(ms_per_sample_per_model)
0,0.99999950000025,0.0,0.99999950000025,0.9999996464467862,4.175903797149658,0.6959839661916097,0.13919679323832193
1,0.0,0.0,0.0,0.29289321881345254,1.6683520078659058,0.27805866797765094,0.05561173359553019
2,0.0,0.7499998125000469,0.0,0.11611660306630234,2.690239906311035,0.44837331771850586,0.08967466354370117
3,0.99999950000025,0.49999987500003124,0.49999987500003124,0.6464466977948751,1.2087039947509766,0.20145066579182944,0.04029013315836589
4,0.33333322222225925,0.0,0.9999990000010001,0.5285954006415744,1.366368055343628,0.227728009223938,0.0455456018447876
5,0.6666664444445185,0.0,0.99999950000025,0.7642975824696963,1.6604479551315308,0.2767413258552551,0.05534826517105103
6,0.499999750000125,0.33333322222225925,0.499999750000125,0.5750816036948909,1.3306560516357422,0.2661312103271484,0.05322624206542969
7,0.99999950000025,0.6666664444445185,0.49999987500003124,0.5285956363436237,1.1343679428100586,0.22687358856201173,0.04537471771240234
8,0.499999750000125,0.0,0.9999990000010001,0.6464464326301194,2.163424015045166,0.4326848030090332,0.08653696060180664
9,0.99999950000025,0.0,0.99999950000025,0.9999996464467862,1.798624038696289,0.3597248077392578,0.07194496154785156
Average,0.5999997166668027,0.22499993541668556,0.6499996000002938,0.6098472468348108,1.919708776473999,0.341375036239624,0.0682750072479248
