,PD,PF,FIR,Balance,InferenceTotal(ms),InferenceTime(ms_per_sample),InferencePerModel(ms_per_sample_per_model)
0,0.636363578512402,0.27586205945303244,0.46666663555555765,0.6772529451118303,1.4436479806900024,0.03609119951725006,0.007218239903450012
1,0.4999999583333368,0.35714284438775556,0.37499997656250145,0.5655169433890193,1.2749439477920532,0.03187359869480133,0.006374719738960266
2,0.7499999375000053,0.3928571288265311,0.4499999775000011,0.6707305397399974,1.861407995223999,0.046535199880599974,0.009307039976119995
3,0.4999999583333368,0.28571427551020445,0.42857139795918586,0.5927944690349934,1.7311359643936157,0.043278399109840396,0.008655679821968078
4,0.4999999583333368,0.24999999107142887,0.4615384260355057,0.6047152689501025,1.6497279405593872,0.04124319851398468,0.008248639702796936
5,0.41666663194444736,0.35714284438775556,0.3333333111111126,0.5163530060134709,2.7165439128875732,0.06791359782218934,0.013582719564437866
6,0.6666666111111158,0.28571427551020445,0.4999999687500019,0.6895617650977339,1.5623680353164673,0.039059200882911684,0.007811840176582336
7,0.5833332847222263,0.3928571288265311,0.3888888672839518,0.5950630448513035,1.5369600057601929,0.03842400014400482,0.0076848000288009645
8,0.4999999583333368,0.35714284438775556,0.37499997656250145,0.5655169433890193,1.4199680089950562,0.035499200224876404,0.007099840044975281
9,0.4545454132231443,0.4285714132653067,0.2941176297577865,0.509493036489729,2.080512046813965,0.053346462738819614,0.010669292547763923
Average,0.5507575290346688,0.3383004805626506,0.4073116167078107,0.59869979620672,1.7277215838432312,0.04332640575292783,0.008665281150585565
